日期,月份,名稱,aqi,人口密度,距火力發電廠30km內,工業區3km內,人口密度分類
2018/1/1,1,基隆,70,4960.5,0,1,高
2018/1/1,1,士林,64,4268.66,0,1,高
2018/1/1,1,中山,63,15150.13,0,1,高
2018/1/1,1,松山,70,21938.76,0,1,高
2018/1/1,1,萬華,69,23176.76,0,1,高
2018/1/1,1,古亭,56,25113.01,0,1,高
2018/1/1,1,淡水,55,2745.9,0,1,高
2018/1/1,1,林口,63,2449.05,0,0,高
2018/1/1,1,菜寮,63,23484.00735,0,0,高
2018/1/1,1,汐止,76,2941.086468,0,1,高
2018/1/1,1,新莊,56,21457.80142,0,1,高
2018/1/1,1,板橋,68,23950.64823,0,1,高
2018/1/1,1,土城,64,8141.271989,0,1,高
2018/1/1,1,新店,72,2533.901688,0,1,高
2018/1/1,1,萬里,74,329.5992427,1,1,低
2018/1/1,1,桃園,64,12062.8,0,0,高
2018/1/1,1,大園,65,961.3,0,0,中
2018/1/1,1,平鎮,58,4738.8,0,1,高
2018/1/1,1,龍潭,67,1735.9,0,0,中
2018/1/1,1,新竹,54,6620.7,0,1,高
2018/1/1,1,湖口,61,1510.5,0,1,中
2018/1/1,1,竹東,54,1866.8,0,1,中
2018/1/1,1,苗栗,69,2361.2,0,1,高
2018/1/1,1,三義,69,209.4,0,1,低
2018/1/1,1,西屯,69,6068.2,0,0,高
2018/1/1,1,忠明,66,5531.2,0,1,高
2018/1/1,1,豐原,64,3707.3,0,1,高
2018/1/1,1,沙鹿,70,2114.1,0,1,高
2018/1/1,1,大里,67,7279.1,0,1,高
2018/1/1,1,彰化,91,3506.0,0,1,高
2018/1/1,1,二林,80,507.2,0,0,中
2018/1/1,1,南投,81,1458.5,1,0,中
2018/1/1,1,竹山,140,199.9,1,0,低
2018/1/1,1,崙背,106,377.7,0,1,低
2018/1/1,1,斗六,88,1149.5,0,0,中
2018/1/1,1,嘉義,107,4353.4,0,1,高
2018/1/1,1,新港,94,438.9,0,1,低
2018/1/1,1,朴子,86,798.9,0,0,中
2018/1/1,1,安南,99,1746.4,0,1,中
2018/1/1,1,臺南,104,14553.4,0,0,高
2018/1/1,1,新營,99,1891.2,0,1,中
2018/1/1,1,善化,109,756.6,0,0,中
2018/1/1,1,楠梓,154,7691.5,0,0,高
2018/1/1,1,左營,143,11048.2,0,1,高
2018/1/1,1,前金,154,13156.3,0,1,高
